Distance,Altitude,Speed,THR_SET
0.0,0.0,0.0,19642.499794301744
7985.653706677585,0.0,143.07467289248777,16031.249423944106
15974.791316669369,1457.0045944056812,146.14413176181202,16648.38159423954
24753.15446967241,2237.7978149999526,172.04992622072544,16170.936637793293
39525.98842354497,2992.534595007315,235.96176532675176,14962.741699973049
45526.186330256256,3640.528775870497,238.24044028343567,12681.841232733255
51295.933505710054,4250.902173639772,240.4165282673822,12806.107194087566
56483.69518747958,4788.92387773629,242.3589836403472,12915.763916119404
65076.44469273758,5653.273479203719,245.52824039932113,13004.361250854765
99451.45921646291,8950.564722869036,258.19486868852357,13542.355165682973
124919.05103610104,9744.345834165635,286.29853877002336,13696.153707737367
135613.3088141026,10624.250369800513,290.2496201560638,13825.383498279956
