Distance,Altitude,Speed,THR_SET
0.0,0.0,0.0,19469.447082635143
7484.198640180455,0.0,141.61571312359024,15696.521642711545
13769.7373644525,1161.6819760900357,144.03169112165799,16211.813672405191
31303.106429860574,2077.8705427559107,250.3468970894881,14131.613450267443
44120.11063326276,2992.0178462269396,281.3511045098664,13744.186894108732
53744.553392866306,3381.448061549044,314.6468182154014,13199.774034131438
72995.51285976675,5342.861474180973,324.0090691718882,12340.471738070151
95443.81741051964,6661.528600242575,348.957479437769,12488.816806593135
131449.78927860834,9823.435958806327,366.3328926391557,13007.884973150378
138533.77800683852,10390.869177022329,369.58526114496703,13339.95881640719
