Distance,Altitude,Speed,THR_SET
0.0,0.0,0.0,16008.143407737509
5954.07997208768,0.0,120.04082745523796,12373.920933470657
12327.018175996029,1283.397172376308,122.30627206943454,12431.750553966975
25771.261059178345,1908.6299409694109,244.0414499030554,10795.214011405564
47127.332623878385,4395.786827339916,253.20641297404788,9995.535216490462
62813.09547662992,6093.189458188142,259.75457383177246,10357.173848394297
73667.95781801666,6429.712079113762,302.9320856063245,10316.108370365982
88058.4208778267,7829.936850025951,309.4681299060747,10474.020804849273
100961.93997193736,8697.367071288107,325.96044828283266,10621.21387374611
119191.48303789995,10306.682132284765,334.1982274077041,10859.159459721022
