Distance,Altitude,Speed,THR_SET
0.0,0.0,0.0,23425.0
6003.986112436686,0.0,137.44018436895402,20074.27751506448
12775.924022026698,1694.090568545174,140.86932344796202,20437.56996479602
17732.85166635445,2877.9418608072174,143.34080993893974,20827.29073595144
22924.33709287824,3286.2949997336063,165.66407289230696,15827.181987453572
27400.844468225285,3619.035777368892,193.74715399243001,15724.735995178398
35349.80252382439,4089.4583547817147,234.0438915294888,15556.120063213584
45628.52592625799,4903.960447543404,262.99669477151946,15515.38275138678
53474.33710045544,5902.675265068474,266.97008209907557,15651.96722199611
65546.66170323876,7364.755199564526,272.9479767568842,15849.067299978076
83011.33913527938,8588.759848165973,302.4397545031348,16027.769403823604
94634.0666639212,9840.042778470368,308.33550755518274,16271.543186307223
103594.75651618252,10462.739481558521,321.7166105380593,16377.945460714416
