Step Type,Thrust Rating,Flap_ID,End Point Altitude (ft),End Point CAS (kt),Rate Of Climb (ft/min),Weight (lbs),Tflex (C)
TakeOff,MaxTakeoff,1+F,,,,143450.31835459758,64.52037373429494
Climb,MaxTakeoff,1+F,1157.3624589044553,,,,
Climb,MaxTakeoff,ZERO,2088.9560875963734,,,,
Climb,MaxTakeoff,ZERO,2976.2809463824487,,,,
Accelerate,MaxTakeoff,1+F,,166.0588139134686,1500.9141216656187,,
Accelerate,MaxClimb,1,,183.01837632662682,1120.625438290487,,
Accelerate,MaxClimb,ZERO,,221.6575722993764,1045.2902231356557,,
Accelerate,MaxClimb,ZERO,,246.58793785902662,1967.5719125474748,,
Climb,MaxClimb,ZERO,5959.390122063076,,,,
Climb,MaxClimb,ZERO,6997.838231138785,,,,
Climb,MaxClimb,ZERO,8378.486759523355,,,,
Climb,MaxClimb,ZERO,9694.639190110822,,,,
Accelerate,MaxClimb,ZERO,,262.97114479446225,2726.399061660908,,
