Distance,Altitude,Speed,THR_SET
0.0,0.0,0.0,20409.487513223976
7565.998667945567,0.0,132.78443240853997,16675.516853887173
15590.879002679932,1880.984914835979,136.47896223982,17256.948689387085
28070.667258816524,2979.7227831868595,236.74871455899685,15662.491304845333
34903.250856055856,3856.9724651871356,239.85135261307772,13251.769545303076
41893.69755742718,4727.04850023411,242.98801600885992,13420.135455845846
49134.70438367304,5596.245933703323,246.18208664661566,13555.018147814706
62002.484763445784,7254.388045395659,252.44888905499673,13755.56025702119
74098.71119867807,8751.92722858773,258.3123350598418,14186.273690246588
100417.40015752234,10505.717394314237,301.69191044445614,14233.323149390317
