Distance,Altitude,Speed,THR_SET
0.0,0.0,0.0,23425.0
6971.627781498378,0.0,152.286509505212,19658.703576959546
13782.179375993119,1350.7181295652933,155.3134547942765,19826.428006893897
28700.630011350888,2103.77660334373,255.27965452034377,18003.988588373817
39422.43689672485,2898.9478580204723,277.65881362137605,15007.655340823887
52624.66038416281,3435.9449619339907,317.6724008579586,14895.12924051539
71172.3926732919,5498.389994936524,327.62658000111907,15169.83972213171
95918.79507130598,6964.786150675445,354.2885710994279,15356.598349751861
119308.5726162299,9203.559960859158,366.6755262325584,15787.54368828285
135165.44561017494,10378.622710372467,373.4332640071544,16117.003298748505
