Distance,Altitude,Speed,THR_SET
0.0,0.0,0.0,19859.932580498877
5541.6502539421435,0.0,152.49119382378765,16208.270515190301
17038.71669095676,1798.252571321058,156.60119295723942,16712.095054544956
30189.34280669984,2522.6472537742357,208.7810461769073,15786.024491571869
23021.512010335515,3778.908951826792,227.53483380833316,12941.374021058204
42401.305622042055,5575.626544366922,233.82964107221454,13227.290918312276
57634.3514009498,6907.651222107859,238.66302945606807,13532.184912111003
77182.55320200611,8512.289726451188,244.68310251338843,13774.83274994884
97107.61614741872,9051.264546411276,281.2691478302351,13807.528943021207
114879.5746608951,10378.897249684902,287.2143601324286,14088.637250011428
