Distance,Altitude,Speed,THR_SET
0.0,0.0,0.0,23425.0
5051.525964773436,0.0,159.25929115899393,19644.382596002983
13304.858029235449,1497.2923067035097,162.82155746509747,20054.54467808409
19444.776825580062,1867.3568875973579,201.1335898727129,19352.05822671275
30003.152143723986,2226.8201346869173,264.03615924463355,18067.75020800283
45451.47442592832,3609.036686751242,283.10513125468293,17999.560027163072
57266.26031757322,4755.520402219994,288.0604221489908,15354.79146550643
71896.86998129095,6004.508693599883,293.6052098212767,15590.425591324707
88696.16586391034,7604.305826773509,300.9394683907199,15927.265144634728
104950.28157246741,8814.484342443395,306.66784442588397,16137.300763553898
118928.7235654366,9992.90546650389,312.40126439560566,16363.22096110115
126657.82819602566,10506.031718143888,314.9471378188958,16488.565282241158
