Distance,Altitude,Speed,THR_SET
0.0,0.0,0.0,20097.999284924266
4726.376825079717,0.0,144.7414371861675,16482.841146887684
19349.721140364585,2628.391075212926,150.49308610119186,17373.237620095835
25030.63293035331,3589.5465494469845,152.68045538539985,17811.537517251367
28697.675747303612,4197.8446656858,161.6273705265037,17610.9440973376
39596.15460334647,4507.832890523991,233.49638732399399,16196.078771893594
55464.32147311347,5202.296298386502,266.6217427565231,13228.708074730235
76862.83510378629,7324.967086380568,275.4552327410795,13450.045061513076
100616.29137529372,9494.720355411378,284.9365165006999,13848.160820809095
115649.170066512,9971.293433698682,323.17317924211466,13946.992801774517
135779.5244527906,10261.868864896676,369.4190130973464,13772.55929950189
