Distance,Altitude,Speed,THR_SET
0.0,0.0,0.0,20156.17770975719
5408.332898178867,0.0,145.0750790773208,16605.794938355844
19870.19330633133,2580.815593247162,150.73266734153648,17345.01375420871
26072.018045081022,3716.5074006725963,153.32549493325828,17836.621920368
33139.75875459058,4321.9126976589905,191.33439028512524,17065.461582813383
46556.83425684969,4847.928217280285,240.98172043217414,13364.788059735529
56270.53571750711,5856.781008045937,244.71905577070748,13474.020331570253
74116.95931353082,7617.809964317288,251.45007950282192,13723.145179210029
88910.42500720872,8992.41332150474,256.8949446969451,14023.250701232691
104399.81293012892,10350.351851248972,262.4456900941754,14251.368370328346
