Distance,Altitude,Speed,THR_SET
0.0,0.0,0.0,23365.011562393192
4760.0704621463465,0.0,139.78473865170227,19886.46160313401
13864.410182595222,2320.8424870354047,144.67287058627983,20692.309572910926
16806.495238070504,3024.380868023998,146.20431892761144,20862.4601070604
20446.9033686815,3881.7306417096243,148.10300461954964,21259.90822907726
28043.69963000412,4528.309983451203,176.1938799480444,15985.77525508382
36770.12166265203,4902.239614415525,228.51068130210408,15774.571031994801
48156.38093742146,5469.167149593653,275.8086954021455,15594.117023240668
55756.020355216235,6428.409815667259,279.8918546798699,15733.948699113278
67738.70579920609,7882.967972665545,286.2549621077602,15903.493739185851
79387.8493115005,8853.150837920239,318.2490769510753,16037.395444093097
91503.41007280155,10154.84938237524,324.8295483682838,16286.672553470262
